,code,name_en,name_cn,teacher,slots
0,PE002,Physical Education II,SP2020 | 体育（2）SP2020-10女生羽毛球下午 黄建勤 | 黄建勤 ,黄建勤,Full
1,PE002,Physical Education II,SP2020 | 体育（2）SP2020-4男生网球上午 吴富勇 | 吴富勇 ,吴富勇,Full
2,PE002,Physical Education II,SP2020 | 体育（2）SP2020-5女生健美操上午 窦秀敏 | 窦秀敏 ,窦秀敏,14/23
3,PE002,Physical Education II,SP2020 | 体育（2）SP2020-7男生篮球下午 王朋 | 王朋    ,王朋   ,Full
4,PE002,Physical Education II,SP2020 | 体育（2）SP2020-2男生乒乓球上午 吴爱平 | 吴爱平 ,吴爱平,Full
5,PE002,Physical Education II,SP2020 | 体育（2）SP2020-3男生擒拿格斗上午 沈豪 | 沈豪 ,沈豪,20/30
6,PE002,Physical Education II,SP2020 | 体育（2）SP2020-8男生足球下午 马莲芳 | 马莲芳  ,马莲芳 ,Full
7,PE002,Physical Education II,SP2020 | 体育（2）SP2020-1男生排球上午 王斌 | 王斌 ,王斌,44195
8,PE002,Physical Education II,SP2020 | 体育（2）SP2020-6男生橄榄球下午 宋顺 | 宋顺  ,宋顺 ,Full
9,PE002,Physical Education II,SP2020 | 体育（2）SP2020-9女生瑜伽下午 姚武 |  姚武 , 姚武,Full
10,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-1男生篮球上午 陈刚 | 陈刚  ,陈刚 ,Full
11,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-8男生足球下午 顾根陞 | 顾根陞 ,顾根陞,44134
12,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-7男生网球下午 史为临 | 史为临 ,史为临,Full
13,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-10女生瑜伽下午 沈丽群 | 沈丽群 ,沈丽群,Full
14,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-5男生棒球下午 张哲敏 | 张哲敏 ,张哲敏,16/32
15,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-9女生健美操下午 窦秀敏 | 窦秀敏 ,窦秀敏,44193
16,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-4男生足球上午 顾根陞 | 顾根陞 ,顾根陞,Full
17,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-6男生排球下午 王斌 | 王斌 ,王斌,20/31
18,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-3女生羽毛球上午 卢兰 |  卢兰 , 卢兰,Full
19,PE004,Physical Education IV,SP2020 | 体育（4）SP2020-2男生网球上午 郑铭洪 | 郑铭洪 ,郑铭洪,Full
20,TH000,Morals and Ethics & Law Fundamentals,SP2020 | 思想道德修养与法律基础SP2020-2 Weihua Yang | 杨卫华 ,杨卫华,113/150
21,TH000,Morals and Ethics & Law Fundamentals,SP2020 | 思想道德修养与法律基础SP2020-1 Hongbo Shi | 史宏波 ,史宏波,Full
22,TH004,Military Theory,SP2020 | 军事理论SP2020-2 Jianshi Zhao(10:00-11:40) | 赵建世 ,赵建世,74/75
23,TH004,Military Theory,SP2020 | 军事理论SP2020-1 Cheng Yan (10:00-11:40) | 闫成 ,闫成,Full
24,TH004,Military Theory,SP2020 | 军事理论SP2020-4Jianshi Zhao(14:00-15:40) | 赵建世 ,赵建世,52/75
25,TH004,Military Theory,SP2020 | 军事理论SP2020-3 Cheng Yan (14:00-15:40) | 闫成 ,闫成,68/75
26,TH007,Marxism Basic Theory,SP2020 | 马克思主义基本原理SP2020-1 Wei Zhu | 祝薇 ,祝薇,143/150
27,TH007,Marxism Basic Theory,SP2020 | 马克思主义基本原理SP2020-2 Liping Liu | 刘立萍 ,刘立萍,144/150
28,TH020,Circumstance and Policy,SP2020 | 形势与政策SP2020-1 Freshmen | 徐国斌 ,徐国斌,263/300
29,TH020,Circumstance and Policy,SP2020 | 形势与政策SP2020-2 Sophomore | 周奇  ,周奇 ,274/300
30,TH029,Introduction to Mao Zedong's Thoughts and Theoretical System of Socialism with Chinese Characteristics,SP2020 | 毛泽东思想和中国特色社会主义理论体系概论SP2020-1 Peng Chen | 陈鹏 ,陈鹏,84/150
31,TH029,Introduction to Mao Zedong's Thoughts and Theoretical System of Socialism with Chinese Characteristics,SP2020 | 毛泽东思想和中国特色社会主义理论体系概论SP2020-2 Kai Zhou | 周凯 ,周凯,Full
32,XP004,Social Cognitive Practice in the New Era,SP2020 | 新时代社会认知实践SP2020 |  ,,261/300
33,VC211,Chemistry Lab,SP2020 | 大学化学实验（J类）SP2020-S10 Friday 13:00-16:00 | Ting Sun ,Ting Sun,19/28
34,VC211,Chemistry Lab,SP2020 | 大学化学实验（J类）SP2020-S11 Friday 18:00-21:00 | Ting Sun ,Ting Sun,20/28
